# wave (µm)	R (µW cm-2 sr-1 µm-1)
9.75100040e+00	1.56893250e+00
9.75300026e+00	1.53430140e+00
9.75500011e+00	1.08537290e+00
9.75699997e+00	1.16437770e+00
9.75899982e+00	1.32480130e+00
9.76099968e+00	7.90032270e-01
9.76299953e+00	6.99934780e-01
9.76500034e+00	1.43097890e+00
9.76700020e+00	2.11247160e+00
9.76900005e+00	2.40309170e+00
9.77099991e+00	2.53495570e+00
9.77299976e+00	2.61897850e+00
9.77499962e+00	2.67144580e+00
9.77700043e+00	2.61528160e+00
9.77900028e+00	2.51243690e+00
9.78100014e+00	2.68141790e+00
9.78299999e+00	2.74036880e+00
9.78499985e+00	2.50925870e+00
9.78699970e+00	2.09172510e+00
9.78899956e+00	2.38221030e+00
9.79100037e+00	2.79873900e+00
9.79300022e+00	2.95016000e+00
9.79500008e+00	3.01458190e+00
9.79699993e+00	3.04141240e+00
9.79899979e+00	3.05252910e+00
9.80099964e+00	3.07134290e+00
9.80300045e+00	3.08772990e+00
9.80500031e+00	3.08530570e+00
9.80700016e+00	3.08227490e+00
9.80900002e+00	3.06049130e+00
9.81099987e+00	3.00135330e+00
9.81299973e+00	2.99862380e+00
9.81499958e+00	3.01235290e+00
9.81700039e+00	2.96608970e+00
9.81900024e+00	2.75848750e+00
9.82100010e+00	2.49474020e+00
9.82299995e+00	2.61720420e+00
9.82499981e+00	2.34719710e+00
9.82699966e+00	1.54542990e+00
9.82900047e+00	1.60307740e+00
9.83100033e+00	1.73018740e+00
9.83300018e+00	9.73009470e-01
9.83500004e+00	7.27228220e-01
9.83699989e+00	1.45476830e+00
9.83899975e+00	2.21584030e+00
9.84099960e+00	2.46647860e+00
9.84300041e+00	2.51753880e+00
9.84500027e+00	2.50591950e+00
9.84700012e+00	2.43036460e+00
9.84899998e+00	2.37404580e+00
9.85099983e+00	2.31918480e+00
9.85299969e+00	2.24573760e+00
9.85499954e+00	2.16931530e+00
9.85700035e+00	2.05453780e+00
9.85900021e+00	1.91678310e+00
9.86100006e+00	1.75989350e+00
9.86299992e+00	1.56955170e+00
9.86499977e+00	1.31191650e+00
9.86699963e+00	9.72713350e-01
9.86900043e+00	6.26131950e-01
9.87100029e+00	6.24936340e-01
9.87300014e+00	8.20167540e-01
9.87500000e+00	7.33030140e-01
9.87699986e+00	5.64717470e-01
9.87899971e+00	7.73898010e-01
9.88099957e+00	1.04642720e+00
9.88300037e+00	1.11740230e+00
9.88500023e+00	9.89326540e-01
9.88700008e+00	7.24400520e-01
9.88899994e+00	5.22905650e-01
9.89099979e+00	6.73582020e-01
9.89299965e+00	9.92968260e-01
9.89500046e+00	1.26396790e+00
9.89700031e+00	1.46276890e+00
9.89900017e+00	1.57794940e+00
9.90100002e+00	1.64288540e+00
9.90299988e+00	1.66929700e+00
9.90499973e+00	1.63430440e+00
9.90699959e+00	1.45004300e+00
9.90900040e+00	1.00249560e+00
9.91100025e+00	7.09180470e-01
9.91300011e+00	9.00973380e-01
9.91499996e+00	1.11803500e+00
9.91699982e+00	1.03541230e+00
9.91899967e+00	8.83875010e-01
9.92099953e+00	7.11946610e-01
9.92300034e+00	5.21331430e-01
9.92500019e+00	4.20498460e-01
9.92700005e+00	5.08066000e-01
9.92899990e+00	6.94730580e-01
9.93099976e+00	8.94390400e-01
9.93299961e+00	1.07902300e+00
9.93500042e+00	1.25656030e+00
9.93700027e+00	1.42602800e+00
9.93900013e+00	1.57610130e+00
9.94099998e+00	1.69659360e+00
9.94299984e+00	1.81052110e+00
9.94499969e+00	1.91535580e+00
9.94699955e+00	2.02360960e+00
9.94900036e+00	2.12743950e+00
9.95100021e+00	2.21712040e+00
9.95300007e+00	2.29349180e+00
9.95499992e+00	2.36154010e+00
9.95699978e+00	2.41230510e+00
9.95899963e+00	2.50061890e+00
9.96100044e+00	2.57461430e+00
9.96300030e+00	2.62825940e+00
9.96500015e+00	2.68033600e+00
9.96700001e+00	2.72413160e+00
9.96899986e+00	2.75489070e+00
9.97099972e+00	2.76262660e+00
9.97299957e+00	2.71753240e+00
9.97500038e+00	2.44710800e+00
9.97700024e+00	1.96813910e+00
9.97900009e+00	2.16327120e+00
9.98099995e+00	2.65567300e+00
9.98299980e+00	2.86957050e+00
9.98499966e+00	2.95007280e+00
9.98700047e+00	2.97165510e+00
9.98900032e+00	2.92141960e+00
9.99100018e+00	2.54669400e+00
9.99300003e+00	1.86953380e+00
9.99499989e+00	2.44662810e+00
9.99699974e+00	2.96228530e+00
9.99899960e+00	3.04353620e+00
1.00010004e+01	3.06987910e+00
1.00030003e+01	3.10986690e+00
1.00050001e+01	3.12409280e+00
1.00070000e+01	3.12917880e+00
1.00089998e+01	3.13877080e+00
1.00109997e+01	3.11926250e+00
1.00129995e+01	3.10911630e+00
1.00150003e+01	3.09532240e+00
1.00170002e+01	3.07366540e+00
1.00190001e+01	3.05226230e+00
