# wave (µm)	R (µW cm-2 sr-1 µm-1)
1.12849999e+01	4.37611060e+00
1.12869997e+01	4.45641800e+00
1.12889996e+01	4.53546240e+00
1.12910004e+01	4.62141230e+00
1.12930002e+01	4.70120000e+00
1.12950001e+01	4.77798600e+00
1.12969999e+01	4.83902930e+00
1.12989998e+01	4.91248700e+00
1.13009996e+01	4.96999070e+00
1.13030005e+01	5.01310970e+00
1.13050003e+01	5.05398750e+00
1.13070002e+01	5.09495590e+00
1.13090000e+01	5.11935520e+00
1.13109999e+01	5.15694670e+00
1.13129997e+01	5.16996430e+00
1.13149996e+01	5.19710920e+00
1.13170004e+01	5.16882130e+00
1.13190002e+01	5.15365740e+00
1.13210001e+01	5.02742580e+00
1.13229999e+01	4.63960500e+00
1.13249998e+01	4.35480310e+00
1.13269997e+01	4.52909900e+00
1.13290005e+01	4.94794030e+00
1.13310003e+01	5.26128630e+00
1.13330002e+01	5.35676100e+00
1.13350000e+01	5.41021630e+00
1.13369999e+01	5.44251160e+00
1.13389997e+01	5.48278570e+00
1.13409996e+01	5.46698860e+00
1.13430004e+01	5.50626470e+00
1.13450003e+01	5.50786160e+00
1.13470001e+01	5.53501940e+00
1.13490000e+01	5.51803490e+00
1.13509998e+01	5.54468390e+00
1.13529997e+01	5.56122400e+00
1.13549995e+01	5.60849910e+00
1.13570003e+01	5.57948780e+00
1.13590002e+01	5.58528330e+00
1.13610001e+01	5.56683210e+00
1.13629999e+01	5.59722190e+00
1.13649998e+01	5.57489300e+00
1.13669996e+01	5.58983420e+00
1.13690004e+01	5.58296780e+00
1.13710003e+01	5.57716990e+00
1.13730001e+01	5.53409770e+00
1.13750000e+01	5.57935520e+00
1.13769999e+01	5.59376760e+00
1.13789997e+01	5.60988860e+00
1.13809996e+01	5.58524080e+00
1.13830004e+01	5.56269690e+00
1.13850002e+01	5.55433420e+00
1.13870001e+01	5.55610180e+00
1.13889999e+01	5.52296400e+00
1.13909998e+01	5.54507210e+00
1.13929997e+01	5.55659770e+00
1.13950005e+01	5.55589150e+00
1.13970003e+01	5.54810330e+00
1.13990002e+01	5.51263520e+00
1.14010000e+01	5.49509100e+00
1.14029999e+01	5.48283200e+00
1.14049997e+01	5.47243500e+00
1.14069996e+01	5.47688820e+00
1.14090004e+01	5.49520350e+00
1.14110003e+01	5.43577050e+00
1.14130001e+01	5.42446710e+00
1.14150000e+01	5.36331180e+00
1.14169998e+01	5.34069490e+00
1.14189997e+01	5.29241850e+00
1.14209995e+01	5.27773900e+00
1.14230003e+01	5.22393700e+00
1.14250002e+01	5.17777870e+00
1.14270001e+01	5.12976260e+00
1.14289999e+01	5.15585180e+00
1.14309998e+01	5.07760330e+00
1.14329996e+01	4.99510190e+00
1.14350004e+01	4.88440180e+00
1.14370003e+01	4.81569910e+00
1.14390001e+01	4.71196130e+00
1.14410000e+01	4.62956090e+00
1.14429998e+01	4.48240230e+00
1.14449997e+01	4.41923430e+00
1.14469995e+01	4.28710560e+00
1.14490004e+01	4.05870200e+00
1.14510002e+01	3.82579950e+00
1.14530001e+01	3.53076290e+00
1.14549999e+01	3.17075970e+00
1.14569998e+01	2.74408890e+00
1.14589996e+01	2.15476800e+00
1.14610004e+01	2.05185940e+00
1.14630003e+01	2.57871820e+00
1.14650001e+01	2.89621730e+00
1.14670000e+01	2.91731950e+00
1.14689999e+01	2.49240180e+00
1.14709997e+01	2.11330150e+00
1.14729996e+01	2.38566950e+00
1.14750004e+01	2.98348050e+00
1.14770002e+01	3.39520650e+00
1.14790001e+01	3.66458990e+00
1.14809999e+01	3.93016820e+00
1.14829998e+01	4.22983170e+00
1.14849997e+01	4.36841490e+00
1.14870005e+01	4.46571970e+00
1.14890003e+01	4.52777290e+00
1.14910002e+01	4.64721200e+00
1.14930000e+01	4.63839630e+00
1.14949999e+01	4.61965610e+00
1.14969997e+01	4.60337730e+00
1.14989996e+01	4.63943240e+00
1.15010004e+01	4.68827870e+00
1.15030003e+01	4.55969140e+00
1.15050001e+01	4.45439000e+00
1.15070000e+01	4.32261040e+00
1.15089998e+01	4.07429600e+00
1.15109997e+01	3.89758490e+00
1.15129995e+01	3.72819020e+00
1.15150003e+01	3.51083470e+00
1.15170002e+01	3.29982950e+00
1.15190001e+01	2.71703960e+00
1.15209999e+01	2.23804470e+00
1.15229998e+01	2.14542960e+00
1.15249996e+01	2.25418620e+00
1.15270004e+01	2.47135620e+00
1.15290003e+01	2.96265550e+00
1.15310001e+01	3.46271490e+00
1.15330000e+01	3.79764130e+00
1.15349999e+01	4.03131250e+00
1.15369997e+01	4.31769510e+00
1.15389996e+01	4.54213810e+00
1.15410004e+01	4.67696910e+00
1.15430002e+01	4.76150750e+00
1.15450001e+01	4.85744290e+00
1.15469999e+01	4.92390160e+00
1.15489998e+01	5.00624510e+00
1.15509996e+01	5.07073550e+00
1.15530005e+01	5.12748860e+00
1.15550003e+01	5.32347820e+00
1.15570002e+01	5.37657360e+00
