# wave (µm)	R (µW cm-2 sr-1 µm-1)
5.44250011e+00	5.16875150e-01
5.44350100e+00	5.85073470e-01
5.44449997e+00	6.13938750e-01
5.44549990e+00	6.06406930e-01
5.44649982e+00	5.48812870e-01
5.44750023e+00	5.32548670e-01
5.44850016e+00	5.92436850e-01
5.44950008e+00	5.98890540e-01
5.45050001e+00	5.32995460e-01
5.45149994e+00	5.67385020e-01
5.45249987e+00	6.33246840e-01
5.45349979e+00	6.18762670e-01
5.45450020e+00	5.86585760e-01
5.45550013e+00	5.95991080e-01
5.45650101e+00	6.17020790e-01
5.45749998e+00	6.25496630e-01
5.45849991e+00	6.47829830e-01
5.45949984e+00	6.62060320e-01
5.46049976e+00	6.55902560e-01
5.46150017e+00	6.26232090e-01
5.46250105e+00	5.83277170e-01
5.46350002e+00	5.74255470e-01
5.46449995e+00	5.52531420e-01
5.46549988e+00	5.17110410e-01
5.46649981e+00	4.97809080e-01
5.46750021e+00	4.95501820e-01
5.46850014e+00	5.50855100e-01
5.46950102e+00	5.98679420e-01
5.47049999e+00	6.03298370e-01
5.47149992e+00	6.32055640e-01
5.47249985e+00	6.31061020e-01
5.47349977e+00	6.26540900e-01
5.47450018e+00	6.58736170e-01
5.47550011e+00	6.65530150e-01
5.47650099e+00	6.50834980e-01
5.47749996e+00	6.30702790e-01
5.47849989e+00	6.11598550e-01
5.47949982e+00	6.00056950e-01
5.48050022e+00	6.03534460e-01
5.48150015e+00	5.73453780e-01
5.48250008e+00	5.07403140e-01
5.48350000e+00	4.72882960e-01
5.48449993e+00	4.72204120e-01
5.48549986e+00	4.60312370e-01
5.48649979e+00	4.50059240e-01
5.48750019e+00	4.59259600e-01
5.48850012e+00	4.08872630e-01
5.48950100e+00	3.68959750e-01
5.49049997e+00	2.98045610e-01
5.49149990e+00	3.00295080e-01
5.49249983e+00	4.00038240e-01
5.49350023e+00	4.16847530e-01
5.49450016e+00	4.78562530e-01
5.49550104e+00	5.09372350e-01
5.49650002e+00	4.57985640e-01
5.49749994e+00	3.85268120e-01
5.49849987e+00	4.32642370e-01
5.49949980e+00	4.72556980e-01
5.50050020e+00	4.36145480e-01
5.50150013e+00	4.37945460e-01
5.50250101e+00	3.91414580e-01
5.50349998e+00	3.73589840e-01
5.50449991e+00	4.51484530e-01
5.50549984e+00	4.22410130e-01
5.50649977e+00	4.28338800e-01
5.50750017e+00	4.06097440e-01
5.50850010e+00	4.01633440e-01
5.50950098e+00	4.02912680e-01
5.51049995e+00	4.61433830e-01
5.51149988e+00	5.14767410e-01
5.51249981e+00	4.72655620e-01
5.51350021e+00	4.19285030e-01
5.51450014e+00	3.98741300e-01
5.51550007e+00	3.93892020e-01
5.51650000e+00	3.66099060e-01
5.51749992e+00	4.36798070e-01
5.51849985e+00	5.38778070e-01
5.51949978e+00	5.54840210e-01
5.52050018e+00	4.73313660e-01
5.52150106e+00	4.25403680e-01
5.52250099e+00	5.28569460e-01
5.52349997e+00	5.76097070e-01
5.52449989e+00	5.64257030e-01
5.52549982e+00	4.76067810e-01
5.52650023e+00	3.83846340e-01
5.52750015e+00	3.82145140e-01
5.52850103e+00	3.42932550e-01
5.52950001e+00	4.30019890e-01
5.53049994e+00	4.55760480e-01
5.53149986e+00	4.13053600e-01
5.53249979e+00	4.17921010e-01
5.53350019e+00	4.47353720e-01
5.53450012e+00	4.21191360e-01
5.53550100e+00	3.77848420e-01
5.53649998e+00	3.84791050e-01
5.53749990e+00	4.25350990e-01
5.53849983e+00	4.86594680e-01
5.53950024e+00	5.18373610e-01
5.54050016e+00	4.72307150e-01
5.54150009e+00	3.77824870e-01
5.54250002e+00	3.81801130e-01
5.54349995e+00	4.33218810e-01
5.54449987e+00	4.39198170e-01
5.54549980e+00	5.09140130e-01
5.54650021e+00	5.51800370e-01
5.54750013e+00	5.30476030e-01
5.54850006e+00	4.69264780e-01
5.54949999e+00	3.79831460e-01
5.55049992e+00	3.47494900e-01
5.55149984e+00	3.51024930e-01
5.55249977e+00	3.53442640e-01
5.55350018e+00	3.02646070e-01
5.55450106e+00	3.32338360e-01
5.55550098e+00	3.32981110e-01
5.55649996e+00	3.37962930e-01
5.55749989e+00	3.83836330e-01
5.55849981e+00	3.62230090e-01
5.55950022e+00	3.31686110e-01
5.56050014e+00	3.87069340e-01
5.56150103e+00	4.60861470e-01
5.56250000e+00	4.55335470e-01
5.56349993e+00	3.78160800e-01
5.56449986e+00	3.26752040e-01
5.56549978e+00	2.99745380e-01
5.56650019e+00	3.43723540e-01
5.56750011e+00	3.54679200e-01
5.56850100e+00	3.73645540e-01
5.56949997e+00	3.64262040e-01
5.57049990e+00	4.07757100e-01
5.57149982e+00	4.77876420e-01
5.57250023e+00	4.53133310e-01
5.57350016e+00	3.47194580e-01
5.57450008e+00	2.58778720e-01
5.57550001e+00	3.13727560e-01
5.57649994e+00	3.51355020e-01
5.57749987e+00	3.99246780e-01
5.57849979e+00	4.07933210e-01
5.57950020e+00	3.16336240e-01
5.58050013e+00	2.29990870e-01
5.58150101e+00	3.08751880e-01
5.58249998e+00	3.68640270e-01
5.58349991e+00	3.05420640e-01
5.58449984e+00	2.91255180e-01
5.58549976e+00	2.92002350e-01
5.58650017e+00	2.71754470e-01
5.58750105e+00	1.84413370e-01
5.58850002e+00	1.80345790e-01
5.58949995e+00	2.89634410e-01
5.59049988e+00	3.75851390e-01
5.59149981e+00	3.75258770e-01
5.59250021e+00	3.64670280e-01
5.59350014e+00	3.90629530e-01
5.59450102e+00	3.81356240e-01
5.59549999e+00	2.96445310e-01
5.59649992e+00	3.20493940e-01
5.59749985e+00	3.57646170e-01
5.59849977e+00	3.28408900e-01
5.59950018e+00	2.64740680e-01
5.60050011e+00	3.09520270e-01
5.60150099e+00	3.27625240e-01
5.60249996e+00	2.54973620e-01
5.60349989e+00	2.81020160e-01
5.60449982e+00	3.36445930e-01
5.60550022e+00	3.21969750e-01
5.60650015e+00	2.90980960e-01
5.60750008e+00	2.45522870e-01
5.60850000e+00	2.48345090e-01
5.60949993e+00	3.29191980e-01
5.61049986e+00	3.24974830e-01
5.61149979e+00	3.54564880e-01
5.61250019e+00	3.46485470e-01
5.61350107e+00	3.10177860e-01
5.61450100e+00	2.69153740e-01
5.61549997e+00	2.92959780e-01
5.61649990e+00	3.15919070e-01
5.61749983e+00	2.54705310e-01
5.61850023e+00	1.80169700e-01
5.61950016e+00	2.31219690e-01
5.62050104e+00	3.07255510e-01
5.62150002e+00	3.05732400e-01
5.62249994e+00	2.60657460e-01
5.62349987e+00	2.83060370e-01
5.62449980e+00	3.98787350e-01
5.62550020e+00	4.60881380e-01
5.62650013e+00	4.73433490e-01
5.62750101e+00	4.65580970e-01
5.62849998e+00	4.42404030e-01
5.62949991e+00	3.89082190e-01
5.63049984e+00	3.35134180e-01
5.63149977e+00	2.56673040e-01
5.63250017e+00	1.88334320e-01
5.63350010e+00	1.87071770e-01
5.63450098e+00	2.00638580e-01
5.63549995e+00	2.36127590e-01
5.63649988e+00	2.57492930e-01
5.63749981e+00	3.51866070e-01
5.63850021e+00	4.01094020e-01
5.63950014e+00	3.95389500e-01
5.64050007e+00	3.35228410e-01
5.64150000e+00	2.64421080e-01
5.64249992e+00	2.18305540e-01
5.64349985e+00	2.98509300e-01
5.64449978e+00	3.07087240e-01
5.64550018e+00	2.64474480e-01
5.64650106e+00	2.86470770e-01
5.64750099e+00	2.30087880e-01
5.64849997e+00	1.81294800e-01
5.64949989e+00	2.67669380e-01
5.65049982e+00	3.36317900e-01
5.65150023e+00	3.25144710e-01
5.65250015e+00	2.37704230e-01
5.65350103e+00	1.83451650e-01
5.65450001e+00	1.75978440e-01
5.65549994e+00	1.64964040e-01
5.65649986e+00	2.14269150e-01
5.65749979e+00	1.91517930e-01
5.65850019e+00	2.36056160e-01
5.65950012e+00	2.58713810e-01
5.66050100e+00	2.12786790e-01
5.66149998e+00	1.57018830e-01
5.66249990e+00	1.78228300e-01
5.66349983e+00	1.75560650e-01
5.66450024e+00	1.71956490e-01
5.66550016e+00	2.04652890e-01
5.66650009e+00	1.55172900e-01
5.66750002e+00	1.44654930e-01
5.66849995e+00	1.87827200e-01
