# wave (µm)	R (µW cm-2 sr-1 µm-1)
7.24650002e+00	6.32245060e-01
7.24749994e+00	6.06511000e-01
7.24849987e+00	5.29614150e-01
7.24949980e+00	5.24572910e-01
7.25050020e+00	6.13278390e-01
7.25150013e+00	6.30469620e-01
7.25250006e+00	6.12409060e-01
7.25349998e+00	5.83070580e-01
7.25449991e+00	5.57873370e-01
7.25549984e+00	6.51250300e-01
7.25649977e+00	6.18285180e-01
7.25750017e+00	5.19964640e-01
7.25850010e+00	5.02143860e-01
7.25950003e+00	3.11856150e-01
7.26049995e+00	3.01753700e-01
7.26149988e+00	4.30892620e-01
7.26249981e+00	5.51577930e-01
7.26350021e+00	4.91811600e-01
7.26450014e+00	2.49408980e-01
7.26550007e+00	2.18286890e-01
7.26650000e+00	2.46122290e-01
7.26749992e+00	2.62699280e-01
7.26849985e+00	3.28204360e-01
7.26949978e+00	5.86264430e-01
7.27050018e+00	6.36196970e-01
7.27150011e+00	4.06971160e-01
7.27250004e+00	3.45279160e-01
7.27349997e+00	3.57164380e-01
7.27449989e+00	3.45855090e-01
7.27549982e+00	3.27404410e-01
7.27650023e+00	3.75919100e-01
7.27750015e+00	4.43610340e-01
7.27850008e+00	4.29264040e-01
7.27950001e+00	4.16696820e-01
7.28049994e+00	4.12125500e-01
7.28149986e+00	6.88819770e-01
7.28249979e+00	1.10060320e+00
7.28350019e+00	8.97829120e-01
7.28450012e+00	5.81711050e-01
7.28550005e+00	3.36695400e-01
7.28649998e+00	2.81313180e-01
7.28749990e+00	2.75495890e-01
7.28849983e+00	2.55684200e-01
7.28950024e+00	2.32967660e-01
7.29050016e+00	2.35838470e-01
7.29150009e+00	2.42841230e-01
7.29250002e+00	2.42645710e-01
7.29349995e+00	3.94607450e-01
7.29449987e+00	6.55214250e-01
7.29549980e+00	6.40032410e-01
7.29650021e+00	3.06794910e-01
7.29750013e+00	1.67038590e-01
7.29850006e+00	1.54157820e-01
